"info@inmobiliarianexo.com","NEXO PROPIEDADES","info@inmobiliarianexo.com"
"info@reyesruano.com         ","REYES RUANO INMUEBLES","info@reyesruano.com         "
"Kozak","Kozak",
"curtoinm@hotmail.com","Inmobiliaria CURTO","curtoinm@hotmail.com"
"info@elianaschutz.com","ELIANA SHUTZ","info@elianaschutz.com"
"info@myc.com.uy","MAZZEI & CIAPPESONI","info@myc.com.uy"
"julietainmobiliaria@adinet.com.uy","JULIETA INMOBILIARIA","julietainmobiliaria@adinet.com.uy"
"info@ananikian.com","ANANIKIAN","info@ananikian.com"
"aliciasilvapropiedades@gmail.com","ALIBE S.R.L","aliciasilvapropiedades@gmail.com"
"iferraripropiedades@gmail.com","FERRARI PROPIEDADES","iferraripropiedades@gmail.com"
"toscanoestudio@gmail.com","Estudio Toscano","toscanoestudio@gmail.com"
"info@patriciaquartino.com.uy","Patricia Quartino Inmobiliaria","contacto@patriciaquartino.com.uy"
"info@acerenzayamestoy.com.uy","Acerenza & Amestoy","info@acerenzayamestoy.com.uy"
"inmobiliariaviana@hotmail.com","Administración Viana","inmobiliariaviana@hotmail.com"
"alejandra@zapata.uy","Alejandra Zapata Negocios Inmobiliarios","alejandra@zapata.uy"
"arenyspropiedades@gmail.com","ARENYS Propiedades","arenyspropiedades@gmail.com"
"blimongiperera@gmail.com","Bruno Limongi Inmobiliaria","blimongiperera@gmail.com"
"irazabal@irazabal.com.uy","Irazabal Propiedades","irazabal@irazabal.com.uy"
"inciarte@netgate.com.uy","Inciarte Inversiones Inmobiliarias","inciarte@netgate.com.uy"
"areti@adinet.com.uy","ARETI Propiedades","areti@adinet.com.uy"
"welcome@inmobiliaria.com.uy","WELCOME","welcome@inmobiliaria.com.uy"
"borsarisantiago@hotmail.com","Inmobiliaria Borsari","borsarisantiago@hotmail.com"
"gamberoni@netgate.com.uy","Inmobiliaria Gamberoni","gamberoni@netgate.com.uy"
"abrilga@badopropiedades.com","Bado y Asociados","montevideo@badopropiedades.com"
"mustopro@adinet.com.uy","Musto Propiedades","mustopro@adinet.com.uy"
"inmobiliariatabarez@gmail.com","Marianela Tabarez","inmobiliariatabarez@gmail.com"
"info@marinpropiedades.com.uy","Marin Propiedades","info@marinpropiedades.com.uy"
"diego@inmobiliariafocus.com","Focus Negocios Inmobiliarios","diego@inmobiliariafocus.com"
"inmobiliariavidiella@gmail.com","Sofia Vidiella","inmobiliariavidiella@gmail.com"
"estra@adinet.com.uy","Estudio Ruben Alvarez","estra@adinet.com.uy"
"inmobiliaria@raymond.com.uy","Raymond","inmobiliaria@raymond.com.uy"
"info@soaresnetto.com.uy","Soares Netto","info@soaresnetto.com.uy"
"info@arocenaf.com.uy","AROCENA F. PROPIEDADES","info@arocenaf.com.uy"
"contacto@leclat.com.uy","LECLAT",
" info@barcelopropiedades.com.uy","BARCELO PROPIEDADES","info@barcelopropiedades.com.uy"
" inmobiliariavaliente@gmail.com","DANIEL VALIENTE",
"gianellipropiedades@gmail.com","GIANELLI PROPIEDADES","gianellipropiedades@gmail.com"
"informes@ayu.com.uy","AYUI PROPIEDADES","	 informes@ayu.com.uy"
"INVERSIONENSANJOSE@GMAIL.COM","MARCELO MENESES",
"federico@tierrasdelsur.com.uy","Tierras del Sur Inmobiliaria",
"VENTAS@ALEJANDRAPROPIEDADES.COM.UY","ALEJANDR APROPIEDADES",
"raulpiccardo@allinonepropiedades.com","ALL IN ONE PROPIEDADES",
"ademicheli@asesoresasociados.com.uy","ASESORES ASOCIADOS SRL",
"mjrasociados@gmail.com","MJR & ASOC.",
"alvarofagalde@maitesrl.com.uy","MAITE SRL","silvana@maitesrl.com.uy/ adrianbentancur@maitesrl.com.uy/alvarofagalde@maitesrl.com.uy"
"bienesraices.calero@gmail.com","CALERO BIENES RAICES",
"brodskipropiedades@gmail.com","BRODSKI PROPIEDADES","brodskipropiedades@gmail.com"
"dib@dib.com.uy","DIB INMOBILIARIA",
"srodriguez@vera.com.uy","ARCADIA BR",
"info@inmobiliariaschinca.com",,
"oficina@juanpedromolla.com","Inmobiliaria MOLLA","administracion@juanpedromolla.com"
"info@vistanetinmobiliaria.com","VISTANET","vistanetinmobiliaria@gmail.com"
"carolina@welkerpropiedades.com","WELKER PROPIEDADES",
"fercucci@montevideo.com.uy","POTENZA NEGOCIOS INMOBILIARIOS",
"amavis","AMAVIS INMOBILIARIA","amavisinmobiliaria@gmail.com"
"Virginia"," PRUSKY NEGOCIOS INMOBILIARIOS","virginia@pruskypni.com"
"mvdpropiedades@hotmail.com","MVD NEGOCIOS INMOBILIARIOS",
"escritoriodeleste@outlook.com","ESCRITORIO DEL ESTE","escritoriodeleste@outlook.com"
"info@parodi.com.uy","PARODI INMOBILIARIA",
"info@paulis.uy","PAULIS INMOBILIARIA",
"info@monymar.com","Monymar","info@monymar.com"
"contacto@poggio.uy","POGGIO & ASOCIADOS PROPIEDADES",
"aliciarubio@inmobiliaria.com.uy","ALICIA RUBIO PROPIEDADES",
"info@rossanapessi.com.uy","ROSSANA PESSI NEGOCIOS INMOBILIARIOS",
"diegolissa@hotmail.com","ROBERT INMOBILIARIA",
"infofernandezlasso@gmail.com","FERNANDEZ LASSO NEGOCIOS INMOBILIARIOS",
"wyudka@montevideo.com.uy","YUDKA INMOBILIARIA",
"lucia@canepa.com.uy","CANEPA & CANEPA","luciasilva@canepa.com.uy"
"info@c5.com.uy","C5 NEGOCIOS INMOBILIARIOS",
"inmobmundo@hotmail.com","INMOBILIARIA MUNDO",
"jose@ap.com.uy","ARTE PROPIEDADES",
"basigaluz","ALEJANDRA BASIGALUZ PROPIEDADES","alejandrabasigaluz@inmobiliaria.com.uy"
"info@cascoantiguopropiedades.com","CASCO ANTIGUO PROPIEDADES","info@cascoantiguopropiedades.com"
"jpzorrilla@zorrillapalumbo.com","ZORRILLA Y PALUMBO NEGOCIOS INMOBILIARIO",
"ventas@proyectoinmobiliario.com.uy","PROYECTO INMOBILIARIO",
"laportepropiedades@gmail.com","LAPORTE PROPIEDADES","laportepropiedades@gmail.com"
"alquilerescastello@gmail.com","CASTELLO S.R.L.","info@inmobiliariacastello.com"
"ventas@inmobiliariasalustio.com","SALUSTIO INMOBILIARIA","ventas@inmobiliariasalustio.com"
"info@jsuarez.com.uy","J SUAREZ NEGOCIOS INMOBILIARIOS",
"acrinmobiliaria@hotmail.com","A.C.R. INMOBILIARIA","acrinmobiliaria@hotmail.com"
"rudibar@gmail.com","Casa Sur Negocios Inmobiliarios","rudibar@gmail.com"
"inmobiliaria@ramoshughes.com.uy","RAMOS HUGHES PROPIEDADES","inmobiliaria@ramoshughes.com.uy"
"rosinafratta2@hotmail.com","Address Negocios Inmobiliarios","rosinafratta2@hotmail.com"
"arteagahillvta@hotmail.com","ARTEAGA HILL PROP","arteagahillvta@hotmail.com"
"gutierrezlarre@gmail.com","Gutierrez Larre Bienes Raíces","gutierrezlarre@gmail.com"
"cuitinopropiedades@gmail.com","Cuitiño Propiedades","cuitinopropiedades@gmail.com"
"info@eduardopedoja.com","Eduardo Pedoja","info@eduardopedoja.com"
"arditti@adinet.com.uy","ARDITTI NEGOCIOS INMOBILIARIOS","arditti@adinet.com.uy"
"montevideo@engelvoelkers.com","ENGEL Y VOELKERS","montevideo@engelvoelkers.com"
"n.canepa@canepapropiedades.com.uy","NORBERTO CANEPA SANTOS ® Propiedades Industriales, Logística y Campos","n.canepa@canepapropiedades.com.uy"
"escritoriomaldonado@hotmail.com","ESCRITORIO MALDONADO","escritoriomaldonado@hotmail.com"
"info@scarpelli.com.uy","SCARPELLI NEGOCIOS INMOBILIARIOS",
"inmobiliaria@bienseguro.com.uy","BIEN SEGURO","inmobiliaria@bienseguro.com.uy"
"patricia@ci.com.uy","CIUDAD INMOBILIARIA",
"info@pilarcibils.com.uy","PILAR CIBILS","info@pilarcibils.com.uy"
"puntadeleste@garciasantos.com","GARCIA SANTOS MARKETING INMOBILIARIO","puntadeleste@garciasantos,com"
"info@monacopropiedades.com.uy","MÓNACO PROPIEDADES","info@monacopropiedades.com.uy"
"info@newhomeuruguay.com","NEW HOME PROPIEDADES","info@newhomeuruguay.com"
"banchero@banchero.com.uy","BANCHERO REAL ESTATE","info@banchero.com.uy"
"rfernandez@mineiropropiedades.com.uy","Mineiro Propiedades","rfernandez@mineiropropiedades.com.uy"
"secretaria@ciu.org.uy","Natalia","secretaria@ciu.org.uy"
"inmobiliariamigos@gmail.com","ESTUDIO MIGOS INMOBILIARIA","inmobiliariamigos@gmail.com"
"virubio@adinet.com.uy","VIRGINIA RUBIO",
"carlos@vignoli.com.uy","VIGNOLI SERVICIOS INMOBILIARIOS","carlos@vignoli.com.uy"
"tyl26marzo","LOPEZ & CIA. Negocios Inmobiliarios","ventas@lopezycia.com.uy"
"inmcasagrande@gmail.com","CASAGRANDE","info@casagrandepropiedades.com.uy"
"info@josealepropiedades.com.uy","JOSE ALE PROPIEDADES","info@josealepropiedades.com.uy"
"info@daver.uy","INMOBILIARIA DAVER",
"kosak@kosak.com.uy","Kosak Inversiones Inmobiliarias","info@kosak.com.uy"
"aarbuet@gmail.com","Alvaro","aarbuet@gmail.com"
"planeta","Planeta Inmobiliaria","planeta"
"inmobiliariadobal@hotmail.com","Inmobiliaria Dobal","inmobiliariadobal@hotmail.com"
"contacto@testapropiedades.uy","Testa Propiedades","contacto@testapropiedades.uy"
"nicolas@sodio.com.uy","Sodio","nicolas@sodio.com.uy"
"contacto@busciomary.com","BUSCIO MARY NEGOCIOS INMOBILIARIOS","contacto@busciomary.com"
"perezblancopropiedades@gmail.com","maria laura perez blanco","perezblancopropiedades@gmail.com"
"info@siabinversiones.com","Siab Inversiones","info@siabinversiones.com"
"lrinaldi@sublimesolutions.net","Sublime Solutions","lrinaldi@sublimesolutions.net"
"alquileres@savipropiedades.com.uy","SAVI LTDA","alquileres@savipropiedades.com.uy"
"estudiozilberman@gmail.com","Estudio Zilberman","estudiozilberman@gmail.com"
"brodskipropiedades@gmail.com","BRODSKI PROPIEDADES","brodskipropiedades@gmail.com"
"adrianamichelazzo@gmail.com","Inmobiliaria Michelazzo","adrianamichelazzo@gmail.com"
"info@opcionbuceo.uy","OPCION BUCEO NEGOCIOS INMOBILIARIOS","info@opcionbuceo.uy"
"aliciab.huertas@live.com","HUERTAS Y ROCCA","aliciab.huertas@live.com"
"glacasa@altagamabienesraices.com","ALTA GAMA BIENES RAICES","glacasa@altagamabienesraices.com"
"info@ceciliavincent.com.uy","Cecilia Vincent Propiedades","info@ceciliavincent.com.uy"
"ventas@kaplaninmobiliaria.com","ESTUDIO KAPLAN NEGOCIOS INMOBILIARIOS","ventas@kaplaninmobiliaria.com"
"jc@mje.com.uy","MARIA JESUS ETCHEVERRY NEGOCIOS INMOBILIARIOS","jc@mje.com.uy"
"ventas@tabordainmobiliaria.com","Taborda Inmobiliaria","ventas@tabordainmobiliaria.com"
"mario@tera.uy","Mario Sierra - Tera","mario@tera.uy"
"ventas@ciriacos.com.uy","ADMINISTRACIÓN CIRIACO‘S","ventas@ciriacos.com.uy"
"tera","Tera","mario@tera.uy"
